EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
211100931,4,4083,4.82,8.72,0.51,0.86,3.89,12.62,5.53,1.0,3.0,4.233175063157062,0.02314358949661255,8.859727140736142,0.045392871002885804,42.0
211113696,4,4076,4.81,6.44,0.39,0.53,2.57,13.43,7.51,1.0,3.0,6.335096979069274,0.016784220933914185,6.328371197524965,0.019573315412877768,42.0
211116507,4,4182,4.79,3.32,0.26,0.95,9.44,13.49,7.56,1.0,3.0,3.2655924333105633,0.07388395071029663,3.312048291272476,0.10770313409365129,42.0
211131087,4,4100,4.78,3.68,0.28,0.9,3.43,14.63,8.29,1.0,3.0,3.6842684891402198,0.06125101447105408,3.691550508005245,0.04034443927185383,42.0
211135523,4,4110,4.8,7.64,0.45,0.82,1.79,13.68,7.25,1.0,0.0,0.0,0.0,354.389001651507,0.025754985666677666,
211141637,4,4294,4.73,5.09,0.33,0.39,3.86,13.32,7.29,1.0,3.0,5.1952593170327335,0.04603296518325806,4.991395268352534,0.045752925754696916,42.0
211142685,4,4043,4.82,2.42,0.24,0.39,3.48,15.09,8.99,1.0,3.0,2.4318239918183604,0.07243889570236206,118.12972986917886,0.06181654818204785,42.0
211144522,4,4039,4.84,9.68,0.57,0.5,2.6,16.21,,1.0,0.0,0.0,0.0,118.12976323788462,0.04433875729294001,
211149863,4,4057,4.82,7.19,0.42,0.83,5.6,15.89,,1.0,0.0,0.0,0.0,118.12968725341005,0.08953509986455566,
211167564,4,4063,4.81,2.48,0.24,0.39,3.65,16.02,,1.0,0.0,0.0,0.0,2.4273235340805424,0.04816054498311928,
211302124,5,4224,4.77,8.65,0.51,0.41,0.79,15.44,8.51,1.0,0.0,0.0,0.0,93.52660875199946,0.01441272268058813,
211333344,5,4125,4.78,2.82,0.25,0.93,6.25,15.57,,1.0,0.0,0.0,0.0,2.8128275110016934,0.07150805377183633,
211393067,5,4370,4.74,4.79,0.32,0.64,7.4,16.4,6.33,2.0,0.0,0.0,0.0,4.858522004071418,0.07586479843049865,
211397837,5,4269,4.75,7.42,0.44,0.72,3.83,16.85,,2.0,0.0,0.0,0.0,124.70204233676974,0.07367867316765109,
211413463,5,4226,4.77,7.57,0.44,0.81,2.02,17.3,,2.0,0.0,0.0,0.0,93.52645952443709,0.018233087815253346,
211418347,5,4169,4.78,6.88,0.41,0.42,6.29,18.18,,3.0,0.0,0.0,0.0,374.10609467478935,0.18088421192014525,
